article_id,prod_name,product_type_name,product_group_name
110065002,OP T-shirt (Idro),Bra,Underwear
111565001,20 den 1p Stockings,Underwear Tights,Socks & Tights
111609001,200 den 1p Tights,Underwear Tights,Socks & Tights
114428026,Alice BANDEAU 2-p,Bra,Underwear
118458029,Jerry jogger bottoms,Trousers,Garment Lower body
118458034,Jerry jogger bottoms,Trousers,Garment Lower body
120129001,Babette long,Leggings/Tights,Garment Lower body
126589006,2p Claw,Hair clip,Accessories
129085027,Pirate Leggings (1),Leggings/Tights,Garment Lower body
145872001,Dorian l/s basic,Sweater,Garment Upper body
145872051,Dorian l/s basic,Top,Garment Upper body
145872053,Dorian l/s basic,Sweater,Garment Upper body
148033001,Nouvelle 1p Stay Up,Leggings/Tights,Garment Lower body
150959011,THOMPSON woven sport pants,Trousers,Garment Lower body
153115021,OP Strapless^,Bra,Underwear
153115043,OP Strapless^,Bra,Underwear
156227001,Box 4p Kneehighs,Underwear Tights,Socks & Tights
156231002,Box 4p Tights,Leggings/Tights,Garment Lower body
156289011,Slim Cheapo 79,Trousers,Garment Lower body
156610007,Anton sport pant,Trousers,Garment Lower body
162074071,Sigge sneaker sock 5p,Socks,Socks & Tights
163734002,KOMPIS 2-pack L/S,Top,Garment Upper body
164912035,Scallop 5p Socks,Socks,Socks & Tights
174057022,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear
174057037,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear
174057039,FLEECE PYJAMA,Pyjama jumpsuit/playsuit,Nightwear
176550021,Sleep bag padded,Sleep Bag,Underwear/nightwear
179208008,Control Top 100 den 1p Tights,Leggings/Tights,Garment Lower body
179950017,Austin basic leather hip belt,Belt,Accessories
181448105,Jenny 5-pack,Socks,Socks & Tights
186372042,Harem trousers,Trousers,Garment Lower body
187949020,Padded pyjama,Pyjama jumpsuit/playsuit,Nightwear
187949029,Padded pyjama,Pyjama jumpsuit/playsuit,Nightwear
188183014,SPANX ALOT swimsuit (1),Swimsuit,Swimwear
188183021,Spanx alot Swimsuit,Swimsuit,Swimwear
188183023,Spanx alot Swimsuit,Swimsuit,Swimwear
189383001,BASIC LS TURTLE NECK BODY,Bodysuit,Garment Upper body
189616001,Tina leggings,Leggings/Tights,Garment Lower body
189616007,Heavy jsy long leg,Leggings/Tights,Garment Lower body
189616015,Heavy jsy long leg,Leggings/Tights,Garment Lower body
189616032,Heavy jsy long leg,Leggings/Tights,Garment Lower body
189626001,Jodi skirt,Skirt,Garment Lower body
189691033,Carolina sweater (1),Sweater,Garment Upper body
189691051,Carolina sweater (1),Sweater,Garment Upper body
190021003,Basic 5p Minishaftless,Socks,Socks & Tights
194037001,Fleece leggings 1 p,Leggings/Tights,Garment Lower body
194270045,HELENA 2-pack tanktop,Vest top,Garment Upper body
194902033,BERTIL Basic 2-pack S/S SB,T-shirt,Garment Upper body
198518017,METS 2-p basic shorttop,Kids Underwear top,Underwear
201219001,Heavy plain 2 p tights,Underwear Tights,Socks & Tights
201219011,Heavy plain 2 p tights,Underwear Tights,Socks & Tights
201219014,Heavy plain 2 p tights,Underwear Tights,Socks & Tights
203595040,Bryn Flanel Check,Shirt,Garment Upper body
203595048,Bryn Flanel Check,Shirt,Garment Upper body
205225001,PICKUP ARTIST top,Bikini top,Swimwear
211143022,Janet SL (W),Pyjama set,Nightwear
211143040,Janet SL-set (W),Pyjama set,Nightwear
212629048,Alcazar strap dress,Dress,Garment Full body
212629049,Alcazar strap dress,Dress,Garment Full body
212766041,Dean Drawstring Trousers.,Trousers,Garment Lower body
213690001,H-terry Basic 16-pack,Hair string,Accessories
214844003,30p pins,Hair clip,Accessories
215303001,Coolio sunglasses,Sunglasses,Accessories
215337003,Pamela tee,T-shirt,Garment Upper body
215337059,Pamela tee,T-shirt,Garment Upper body
215337066,Pamela tee,T-shirt,Garment Upper body
215589001,Mama 40 den 2p Tights,Underwear Tights,Socks & Tights
215589002,Mama 40 den 2p Tights,Underwear Tights,Socks & Tights
217727018,Polly 3p minishaftless,Socks,Socks & Tights
218354020,Beyonce cropped tank,Vest top,Garment Upper body
218829014,Paris glove.,Gloves,Accessories
219075028,Billy cargo pants,Trousers,Garment Lower body
220094010,Aguilera maxidress,Dress,Garment Full body
220094016,Aguilera maxidress,Dress,Garment Full body
225784023,HARLEY 2-pack basic tee,T-shirt,Garment Upper body
226011008,Flirty Maria 2p Hawaii,Hair clip,Accessories
228257002,20 den 2p Tights,Underwear Tights,Socks & Tights
228257004,20 den 2p Tights,Underwear Tights,Socks & Tights
228257005,20 den 2p Tights,Underwear Tights,Socks & Tights
233091021,Magic Gloves 2pack,Gloves,Accessories
234421001,Mama 200 den Tights,Underwear Tights,Socks & Tights
234432001,Push Up 30 den 1p Tights,Underwear Tights,Socks & Tights
237347022,Theron,Hoodie,Garment Upper body
237347027,Theron (1),Hoodie,Garment Upper body
237347028,Theron (1),Hoodie,Garment Upper body
237347031,Theron (1),Hoodie,Garment Upper body
241412052,AOP Leggings,Leggings/Tights,Garment Lower body
241486015,MILL blocking tights,Trousers,Garment Lower body
241602003,Manson SF slim fit blazer,Blazer,Garment Upper body
241602018,Manson SF slim fit blazer,Blazer,Garment Upper body
241602024,Manson SF slim fit blazer,Blazer,Garment Upper body
243613004,Minna highwaist leggings (1),Leggings/Tights,Garment Lower body
244267001,Silver lake,Sweater,Garment Upper body
244853002,Basic Hood,Hoodie,Garment Upper body
244853030,Basic Hood,Hoodie,Garment Upper body
247072022,2P SS Girly PJ,Pyjama jumpsuit/playsuit,Nightwear
247072032,2P SS Girly PJ,Pyjama jumpsuit/playsuit,Nightwear
250099002,Mama Heavy Plain 2p Tights,Underwear Tights,Socks & Tights
253448001,OP Push Melbourne^,Bra,Underwear
253448056,OP Push Melbourne^,Bra,Underwear
253448062,OP Push Melbourne^,Bra,Underwear
254303049,Bernard half calf socks,Socks,Socks & Tights
254303057,Bernard half calf socks,Socks,Socks & Tights
254457031,Basic SS dress,Dress,Garment Full body
254457034,Basic SS dress,Dress,Garment Full body
254457039,Basic SS dress,Dress,Garment Full body
255396018,Nora Cardigan,Cardigan,Garment Upper body
255396024,Nora Cardigan,Cardigan,Garment Upper body
256096022,Basic SS henley t-shirt,T-shirt,Garment Upper body
257430027,ROMY 2p,Vest top,Garment Upper body
257430030,ROMY 2p,Vest top,Garment Upper body
257667061,Lizzie,T-shirt,Garment Upper body
260736028,NATE  basic S/S solid tee BB,T-shirt,Garment Upper body
261606022,THALES tanktop,Vest top,Garment Upper body
261840008,ELLA 5-p shaftless,Socks,Socks & Tights
265069021,PELLE Basic S/S jersey polo SB,T-shirt,Garment Upper body
265069025,PELLE Basic S/S jersey polo SB,T-shirt,Garment Upper body
265071028,KRISTOFF Basic jersey polo BB,T-shirt,Garment Upper body
